-123.32,49
-122.97,48.82
-123.25,48.68
-123.12,48.42
-123.52,48.22
-126.77,49.58
-128.42,50.77
-131.02,51.93
-133,53.92
-130.77,54.68
-130,56.02
-131.8,56.65
-133.45,58.42
-135.42,59.73
-137.38,58.95
-139.13,60
-141,60.37
-141,65.2
-141,69.65
-135.48,69.57
-128.15,70.52
-125.77,71.93
-124.62,74.3
-122.7,76.18
-105.3,79.25
-79.38,82.87
-61.55,82.37
-80.28,74.48
-61.53,66.67
-64.6,60.52
-55.73,53.45
-56.58,51.5
-55.78,49.85
-53.62,49.22
-53.12,46.53
-59.32,47.53
-59.88,45.92
-61.1,45.08
-64.07,44.35
-65.7,43.35
-67.03,44.72
-67.82,45.63
-67.93,47.02
-69.33,47.3
-71.63,45
-75.07,45
-76.82,43.62
-79.22,43.37
-78.92,42.7
-82.68,41.68
-83.13,42.12
-82.55,42.6
-82.15,43.5
-82.58,45.28
-83.62,45.73
-84.92,46.82
-88.32,48.18
-91.82,48.02
-95.22,49
-101.33,49
-110,49
-114,49
-112,64.51
-81.41,60.45
-112,56.63
-90.84,57.77
-84.06,53.86
-127.64,63.08
-60.17,56.98
-118.12,69.64
-98.27,56
-75.27,53.79
-63.64,48.85
-98.27,51.83
-73.52,49.43
-69.41,53.61
-79.13,49.71
-66.35,56.61
-136.07,64.65
-132.08,62.68
-71.97,68.03
-71.39,61.22
-72.24,56.94
-76.34,59.97
-78.3,66.25
-74.36,64.4
-76.25,71.1
-88.68,68.08
-83.79,65.46
-81.61,69.81
-88.45,62.65
-97.19,65
-85.96,58.4
-93.31,62.01
-105.67,54.21
-118.66,54.3
-124.38,54.85
-120.9,61
-126.49,58.77
-89,53.13
-93.83,53.89
-63.06,53.41
-123.15,66.75
-102.44,57.02
-79.64,55.92
-131.46,67.27
-66.99,65.55
-109.7,53.16
-105.67,49.8
-103.45,61.19
-118.66,49.6
-114.54,53.22
-116.48,58.75
-117.17,64.57
-114,77.72
-108.61,60.57
-98.82,60.63
-104.65,70.19
-106.88,65.48
-102,66.05
-117.94,74.64
-111.48,71.34
-114.19,68.12
-107.42,74.54
-68.92,79.26
-92.43,66.14
-69.55,82.59
-74.47,82.73
-77.05,78.38
-94.18,69.98
-102.19,75.02
-98.82,80.15
-92.34,81.06
-100,70.25
-89.41,74.88
-84.91,73.27
-85.12,79.78
-96.6,75.02
-89.01,78.86
-92.97,76.98
